,^GSPC,^DWCOGS,^OVX,FRED/CPIENGSL,Crude_Oil,forecast,RSI,EMA,ADX,MACD,ATR
0,0,1,1,1,1,0,0,0,1,0,1
1,1,1,0,0,0,1,0,0,0,0,1
2,1,1,1,1,1,0,0,0,1,0,1
3,0,0,0,1,0,1,0,0,0,0,1
4,0,1,0,1,1,0,0,0,0,0,0
5,0,0,0,1,0,1,0,0,1,0,0
6,0,1,1,1,1,0,0,0,1,0,1
7,0,0,1,1,0,1,0,0,0,0,1
8,1,1,0,1,1,1,0,0,1,0,0
9,0,1,1,1,1,0,0,0,1,0,1
10,0,0,1,1,0,0,0,0,0,0,1
11,0,0,1,0,0,0,0,0,1,0,1
12,0,0,1,0,0,0,0,0,1,0,0
13,0,0,0,0,0,1,0,0,0,0,0
14,1,1,0,0,1,1,1,0,0,0,0
15,1,1,0,1,1,0,1,0,1,0,1
16,1,1,1,0,0,1,0,0,0,0,1
17,1,0,1,1,1,1,1,0,0,0,0
18,1,1,0,1,1,1,1,0,1,0,0
19,1,1,0,1,1,1,1,0,0,0,0
20,1,1,0,0,1,1,1,0,1,0,0
21,1,1,0,0,1,1,1,0,0,0,0
22,1,1,1,0,1,0,1,0,1,0,1
23,0,0,1,0,0,0,0,0,1,0,1
24,1,1,0,1,0,1,0,0,1,0,0
25,1,1,0,1,1,1,1,0,0,0,1
26,1,1,1,1,1,1,1,0,1,0,1
27,1,1,0,1,1,1,1,0,1,0,0
28,1,1,1,1,1,1,1,0,0,0,1
29,1,1,1,1,1,1,1,0,1,0,1
30,0,1,0,1,1,0,1,0,1,0,0
31,1,0,0,1,0,0,0,0,0,0,1
32,0,0,0,0,0,0,0,0,0,1,0
33,0,0,1,1,0,0,0,0,1,0,1
34,0,0,1,1,0,1,0,0,0,0,1
35,1,1,0,0,1,1,1,0,0,0,0
36,0,1,0,1,1,0,1,0,1,1,0
37,1,1,0,0,0,1,0,0,0,1,0
38,1,1,1,1,1,0,1,0,1,1,0
39,1,0,0,1,0,0,0,0,0,1,0
40,0,0,1,0,0,1,0,0,1,0,1
41,1,1,0,0,1,1,1,0,0,0,1
42,1,1,0,1,1,0,1,0,1,0,0
43,1,1,1,1,0,1,0,0,1,0,1
44,1,0,0,0,1,1,1,0,0,0,0
45,1,1,1,0,1,1,1,0,1,0,0
46,1,1,0,1,1,0,1,0,1,1,0
47,1,0,1,1,0,1,0,0,0,0,1
48,1,1,1,0,1,0,1,1,0,0,1
49,1,1,0,0,0,1,0,1,0,0,1
50,1,1,0,1,1,0,1,1,1,1,0
51,0,1,1,0,0,0,0,1,0,1,0
52,1,1,0,0,0,1,0,1,1,0,0
53,1,1,0,1,1,0,1,1,0,1,0
54,0,0,1,1,0,1,0,1,0,0,1
55,1,1,0,0,1,0,1,1,1,1,0
56,1,1,1,1,0,0,0,1,0,1,1
57,1,1,1,0,0,1,0,1,0,0,0
58,1,1,0,0,1,0,1,1,1,1,0
59,0,0,1,0,0,0,0,1,0,0,1
60,1,0,1,0,0,0,0,0,1,0,1
61,1,0,1,0,0,0,0,0,1,0,1
62,1,0,1,0,0,0,0,0,1,0,1
63,1,0,1,0,0,1,0,0,0,0,0
64,1,1,0,0,1,0,1,0,1,0,0
65,0,0,0,1,0,0,0,0,0,0,0
66,1,0,1,0,0,1,0,0,1,0,1
67,0,0,1,0,1,0,1,0,1,0,1
68,0,0,0,0,0,0,0,0,0,0,0
69,1,1,1,0,0,0,0,0,1,0,0
70,0,0,0,0,0,0,0,0,1,0,0
71,0,0,1,0,0,1,0,0,0,0,1
72,1,1,0,1,1,1,1,0,1,0,0
73,1,1,0,1,1,0,1,0,1,1,0
74,1,1,1,1,0,0,0,0,0,1,1
75,1,0,1,0,0,1,0,0,1,1,0
76,0,1,0,1,1,0,1,0,0,1,1
77,0,0,1,1,0,1,0,0,1,1,0
78,1,1,1,1,1,1,1,0,1,1,1
79,1,0,0,1,1,1,1,0,0,1,0
80,1,0,0,0,1,0,1,0,1,1,0
81,0,0,1,0,0,0,0,0,1,1,1
82,1,0,1,0,0,0,0,0,0,1,1
83,1,0,0,0,0,1,0,0,1,1,0
84,1,1,1,0,1,0,1,0,0,1,1
85,1,0,0,1,0,1,0,0,0,1,0
86,1,1,0,1,1,1,1,0,1,1,0
87,1,1,1,1,1,1,1,0,1,1,1
88,1,1,0,1,1,0,1,1,1,1,1
89,0,0,1,1,0,1,0,0,0,1,1
90,0,1,1,0,1,0,1,1,0,1,0
91,1,1,0,1,0,1,0,1,1,1,1
92,1,1,0,0,1,1,1,1,0,1,1
93,1,0,0,1,1,0,1,1,0,1,0
94,0,0,1,1,0,0,0,1,1,1,1
95,1,0,1,0,0,0,0,0,1,0,1
96,0,0,0,0,0,1,0,0,0,0,1
97,1,1,0,0,1,1,1,0,0,0,0
98,1,1,0,1,1,1,1,0,0,1,0
99,1,1,0,1,1,0,1,1,1,1,0
100,0,0,1,0,0,1,0,0,0,0,1
101,1,1,0,0,1,0,1,0,0,1,0
102,0,0,1,0,0,1,0,0,0,0,1
103,1,0,0,1,1,1,1,0,0,0,0
104,1,1,0,1,1,0,1,0,1,1,0
105,0,0,1,0,0,0,0,0,1,0,1
106,0,0,1,0,0,0,0,0,1,0,1
107,1,1,0,0,0,1,0,0,0,0,1
108,1,0,0,1,1,1,1,0,0,0,0
109,1,0,0,1,1,1,1,0,0,0,0
110,1,0,0,1,1,0,1,0,0,1,0
111,0,0,1,1,0,1,0,0,1,0,1
112,1,1,1,1,1,1,1,0,1,1,1
113,1,1,0,1,1,1,1,0,1,1,0
114,1,1,1,1,1,1,1,1,1,1,1
115,1,0,0,0,1,1,1,1,0,1,0
116,1,1,0,1,1,0,1,1,1,1,0
117,1,0,1,1,0,1,0,1,0,1,1
118,0,1,1,1,1,0,1,1,0,1,0
